UC;couche_un;couche_media;fr_un;fr_media;IDFxspé_un;IDFxspé_media
high_temperature;1;1;0,000384533;0,000904948;77,36523904;84,72823131
human_activity;1;1;0,002563555;0,002844123;479,5790719;428,3344531
hurricane;1;1;0,000555437;0,003975308;178,098244;476,5599971
impact;1;1;0,046357616;0,023851847;3969,344755;1494,271075
impact_of_climate_change;1;1;0,002905362;0,002197731;966,8875294;389,3721821
limit;1;1;0,008417005;0,007013348;878,2179679;424,2200549
low_carbon;1;1;0,008929716;0,00458938;784,22697;519,6194358
low_emission;1;1;0,001751762;0,000678711;169,5022827;29,06703664
methane;1;1;0,009356975;0,004750978;1017,550621;354,6983792
mitigation;1;1;0,042085025;0,002650205;3700,501306;184,6141166
natural_disaster;1;1;0,00093997;0,001389742;319,4581277;76,35140536
natural_resource;1;1;0,002435377;0,001260464;328,0445347;66,77151905
net_zero;1;1;0,013116855;0,005688245;1025,786142;273,564652
net_zero_emission;1;1;0,003503525;0,000904948;324,003546;74,88660773
pathway;1;1;0,023071993;0,001066546;1882,258359;8,880038475
pre_industrial_level;1;1;0,002606281;0,002133092;411,7387409;268,5448849
projection;1;1;0,017688528;0,002779484;1694,616976;230,5640051
rainfall;1;1;0,001367229;0,004039947;298,222984;317,2995232
reduction;1;1;0,037171545;0,013768139;3281,017464;846,5332828
reduction_target;1;1;0,000512711;0,000290876;93,70590782;80,28462136
renewable_energy;1;1;0,003930784;0,01299247;709,8906333;1496,454767
renewables;1;1;0,0011536;0,00762742;10,29247835;882,0458924
resilience;1;1;0,005767998;0,001648298;1185,780916;132,3181649
resource;1;1;0,019141209;0,00837077;1441,672746;243,5670746
risk;1;1;0,039265114;0,03584241;3068,434994;2007,165426
risk_of_climate_change;1;1;0,000640889;0,000678711;36,66391256;32,15259001
scenario;1;1;0,042085025;0,005462008;3785,151573;431,5070564
sea_level_rise;1;1;0,004657125;0,002230051;784,0698287;233,1883563
sink;1;1;0,003460799;0,000549433;299,6530014;25,19948587
storage;1;1;0,003375347;0,005817524;221,3711457;374,3970138
storm;1;1;0,002862636;0,011085615;282,7584866;888,2692121
sustainability;1;1;0,002948088;0,006011441;637,2057031;630,8275945
sustainable_development;1;1;0,00700705;0,001389742;1259,819524;64,49156574
target;1;1;0,027729118;0,031899422;2182,060849;2014,500191
temperature;1;1;0,036231574;0,039397563;2636,388958;2349,187994
temperature_increase;1;1;0,004144414;0,00155134;856,0975438;177,0193731
temperature_rise;1;1;0,001495407;0,002844123;282,5022399;536,4827232
threshold;1;1;0,001068148;0,001260464;93,0974026;37,62026256
trajectory;1;1;0,004998932;0,000937268;387,5571648;0,75894495
transition;1;1;0,0117069;0,008597007;1340,515791;720,5476537
uncertainty;1;1;0,009784234;0,004233865;1369,889656;315,3705864
vulnerability;1;1;0,007861568;0,001131185;1539,460116;43,98625675
warming;1;1;0,037470626;0,067160079;3001,244304;3633,847831
weather;1;1;0,004016236;0,01829288;316,7510015;1139,492266
weather_event;1;1;0,002307199;0,003231958;643,3980133;447,9263503
weather_pattern;1;1;0,00021363;0,001228144;38,48474111;84,55111987
wildfire;1;1;0,002179022;0,005268091;340,6131521;373,6473879
zero_carbon;1;1;0,000427259;0,001001907;49,50429002;51,40558954
zero_emission;1;1;8,55E-05;0,00077567;48,88277066;130,7261556
